date,JPN_GDP
1987-04-01,97.7346011147733
1987-05-01,97.900409687223
1987-06-01,98.1238678027882
1987-07-01,98.3917750358847
1987-08-01,98.6935313341033
1987-09-01,99.016801875742
1987-10-01,99.3404037830705
1987-11-01,99.637974373045
1987-12-01,99.8813733580049
1988-01-01,100.045752835863
1988-02-01,100.11573914621
1988-03-01,100.096964390054
1988-04-01,100.033827138595
1988-05-01,99.9813120078541
1988-06-01,99.9802248000503
1988-07-01,100.031993413607
1988-08-01,100.119336150157
1988-09-01,100.222780190578
1988-10-01,100.334482056475
1988-11-01,100.44722157145
1988-12-01,100.542815516806
1989-01-01,100.580504395036
1989-02-01,100.521461584077
1989-03-01,100.357333372106
1989-04-01,100.144972780147
1989-05-01,99.9653719051025
1989-06-01,99.8868469102523
1989-07-01,99.9268647838452
1989-08-01,100.070803186282
1989-09-01,100.281627594813
1989-10-01,100.501891648051
1989-11-01,100.679932889263
1989-12-01,100.795685612714
1990-01-01,100.889512254831
1990-02-01,101.021816014887
1990-03-01,101.234361538318
1990-04-01,101.50890356314
1990-05-01,101.796577590548
1990-06-01,102.042830994876
1990-07-01,102.211835908542
1990-08-01,102.284723253061
1990-09-01,102.263480482197
1990-10-01,102.181714796049
1990-11-01,102.08273000589
1990-12-01,102.002438484463
1991-01-01,101.954181256921
1991-02-01,101.935421542129
1991-03-01,101.932431850869
1991-04-01,101.923187869485
1991-05-01,101.886390810303
1991-06-01,101.811294259728
1991-07-01,101.709788255102
1991-08-01,101.601736502079
1991-09-01,101.50268222471
1991-10-01,101.412540982153
1991-11-01,101.323743905887
1991-12-01,101.229044295628
1992-01-01,101.129532792414
1992-02-01,101.029269555782
1992-03-01,100.930659198107
1992-04-01,100.83026568591
1992-05-01,100.721609582752
1992-06-01,100.598399079918
1992-07-01,100.458641177958
1992-08-01,100.305197131864
1992-09-01,100.147798418586
1992-10-01,100.006298134362
1992-11-01,99.8986757203343
1992-12-01,99.8282741322046
1993-01-01,99.7688672651458
1993-02-01,99.684103620786
1993-03-01,99.5462409501859
1993-04-01,99.3567380066919
1993-05-01,99.134192418784
1993-06-01,98.9061190950104
1993-07-01,98.703347431049
1993-08-01,98.5534591840222
1993-09-01,98.4727073007728
1993-10-01,98.4542944537405
1993-11-01,98.479452444009
1993-12-01,98.5239541741409
1994-01-01,98.5615462351402
1994-02-01,98.5716249447958
1994-03-01,98.5474815551994
1994-04-01,98.5064975245915
1994-05-01,98.4730922536607
1994-06-01,98.4629444712806
1994-07-01,98.4667440117676
1994-08-01,98.4672590852921
1994-09-01,98.4553294960977
1994-10-01,98.4460435548562
1994-11-01,98.4644736257482
1994-12-01,98.5312863152479
1995-01-01,98.646384853977
1995-02-01,98.7996186584218
1995-03-01,98.977956458562
1995-04-01,99.1699313890389
1995-05-01,99.3652769548898
1995-06-01,99.5536018812144
1995-07-01,99.7228371547818
1995-08-01,99.8632129835342
1995-09-01,99.9726569122954
1995-10-01,100.064290037
1995-11-01,100.157143946824
