date,India_AverageTemperature
1887-04-01,28.92781841432225
1887-05-01,31.475138107416882
1887-06-01,29.5720358056266
1887-07-01,27.412874680306903
1887-08-01,26.821296675191817
1887-09-01,26.793728900255754
1887-10-01,24.84417135549872
1887-11-01,21.520537084398978
1887-12-01,18.395294117647058
1888-01-01,17.16357033248082
1888-02-01,20.367933503836316
1888-03-01,26.03995396419438
1888-04-01,29.455562659846546
1888-05-01,30.855606138107415
1888-06-01,30.741460358056266
1888-07-01,27.81221739130435
1888-08-01,27.091048593350383
1888-09-01,27.305790281329923
1888-10-01,25.40938618925831
1888-11-01,21.909158567774934
1888-12-01,18.073826086956522
1889-01-01,19.0563989769821
1889-02-01,20.69475703324808
1889-03-01,26.209624040920716
1889-04-01,29.696971867007672
1889-05-01,31.53607672634271
1889-06-01,30.121278772378517
1889-07-01,28.2056368286445
1889-08-01,27.440470588235293
1889-09-01,27.513757033248083
1889-10-01,24.995227621483377
1889-11-01,21.438263427109977
1889-12-01,18.70089514066496
1890-01-01,18.609396419437342
1890-02-01,21.257762148337594
1890-03-01,25.522910485933505
1890-04-01,29.34725831202046
1890-05-01,31.335984654731458
1890-06-01,29.546593350383635
1890-07-01,27.095971867007673
1890-08-01,26.709593350383635
1890-09-01,27.06468286445013
1890-10-01,25.065634271099746
1890-11-01,21.516682864450125
1890-12-01,19.00595140664962
1891-01-01,18.07857800511509
1891-02-01,19.596191815856777
1891-03-01,23.530378516624044
1891-04-01,28.945728900255755
1891-05-01,30.573222506393865
1891-06-01,31.284117647058824
1891-07-01,28.788063938618926
1891-08-01,27.452698209718672
1891-09-01,27.401115089514064
1891-10-01,25.124657289002556
1891-11-01,22.021071611253195
1891-12-01,18.80204859335038
1892-01-01,19.041757033248082
1892-02-01,21.475644501278776
1892-03-01,26.360598465473146
1892-04-01,30.87279795396419
1892-05-01,31.65686445012788
1892-06-01,30.009877237851665
1892-07-01,28.14729411764706
1892-08-01,26.936051150895143
1892-09-01,26.873450127877238
1892-10-01,25.2066547314578
1892-11-01,20.967081841432226
1892-12-01,18.02245012787724
1893-01-01,17.1966905370844
1893-02-01,18.02775959079284
1893-03-01,23.009836317135548
1893-04-01,28.739854219948846
1893-05-01,29.93245780051151
1893-06-01,28.830268542199487
1893-07-01,27.325595907928392
1893-08-01,27.47648337595908
1893-09-01,26.64119948849105
1893-10-01,25.04689769820972
1893-11-01,21.78384398976982
1893-12-01,18.43402557544757
1894-01-01,18.400342710997442
1894-02-01,21.280718670076727
1894-03-01,25.078641943734016
1894-04-01,29.06018670076726
1894-05-01,31.75465728900256
1894-06-01,29.75078772378517
1894-07-01,27.585273657289004
1894-08-01,27.07341432225064
1894-09-01,27.0936905370844
1894-10-01,25.499117647058824
1894-11-01,21.242033248081842
1894-12-01,18.628795396419438
1895-01-01,18.083480818414323
1895-02-01,20.5973094629156
1895-03-01,25.1299283887468
1895-04-01,28.34138874680307
1895-05-01,31.937631713554985
1895-06-01,29.94731969309463
1895-07-01,28.212721227621486
1895-08-01,27.34716368286445
1895-09-01,27.672074168797955
1895-10-01,25.191437340153456
1895-11-01,22.865309462915604
1895-12-01,18.215074168797955
1896-01-01,18.403248081841433
1896-02-01,21.32025063938619
1896-03-01,26.29481841432225
1896-04-01,30.465452685421994
1896-05-01,32.06125319693095
1896-06-01,30.06763938618926
1896-07-01,28.61448593350384
1896-08-01,27.515191815856777
1896-09-01,27.99755242966752
1896-10-01,26.38515601023018
1896-11-01,22.815659846547316
1896-12-01,18.93130179028133
1897-01-01,18.998524296675193
1897-02-01,21.455207161125323
1897-03-01,25.285485933503836
1897-04-01,29.42396930946292
1897-05-01,32.18895907928389
1897-06-01,31.008322250639388
1897-07-01,29.059652173913044
1897-08-01,27.733388746803072
1897-09-01,27.60003324808184
1897-10-01,25.647069053708442
1897-11-01,22.06861125319693
1897-12-01,18.274148337595907
1898-01-01,18.394235294117646
1898-02-01,20.192468030690538
1898-03-01,25.417242966751918
1898-04-01,30.410514066496166
1898-05-01,31.468084398976984
1898-06-01,30.559053708439897
1898-07-01,28.10706393861893
1898-08-01,27.610299232736573
1898-09-01,27.18252685421995
1898-10-01,25.7669820971867
1898-11-01,22.162005115089517
1898-12-01,19.169219948849104
1899-01-01,16.834838874680308
1899-02-01,21.07322506393862
1899-03-01,26.30480051150895
1899-04-01,28.636744245524298
1899-05-01,31.409503836317135
1899-06-01,29.8966547314578
